[01;32mroot[00m [01;34m/workspace/solana-curriculum/learn-how-to-set-up-solana-by-building-a-hello-world-smart-contract[00m (main) $ [K00:00:59 | Processed Slot: 1605 | Confirmed Slot: 1605 | Finalized Slot: 1573 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1624 | ◎499.992065000
00:01:06 | Processed Slot: 1624 | Confirmed Slot: 1624 | Finalized Slot: 1592 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1643 | ◎499.991970000
00:01:07 | Processed Slot: 1625 | Confirmed Slot: 1625 | Finalized Slot: 1593 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1644 | ◎499.991965000
00:01:07 | Processed Slot: 1625 | Confirmed Slot: 1625 | Finalized Slot: 1593 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1644 | ◎499.991965000
00:01:07 | Processed Slot: 1626 | Confirmed Slot: 1626 | Finalized Slot: 1594 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1645 | ◎499.991960000
00:01:07 | Processed Slot: 1626 | Confirmed Slot: 1626 | Finalized Slot: 1594 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1645 | ◎499.991960000
00:01:08 | Processed Slot: 1627 | Confirmed Slot: 1627 | Finalized Slot: 1595 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1646 | ◎499.991955000
00:01:08 | Processed Slot: 1628 | Confirmed Slot: 1628 | Finalized Slot: 1596 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1647 | ◎499.991950000
00:01:08 | Processed Slot: 1628 | Confirmed Slot: 1628 | Finalized Slot: 1596 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1647 | ◎499.991950000
00:01:09 | Processed Slot: 1629 | Confirmed Slot: 1629 | Finalized Slot: 1597 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1648 | ◎499.991945000
00:01:09 | Processed Slot: 1629 | Confirmed Slot: 1629 | Finalized Slot: 1597 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1648 | ◎499.991945000
00:01:09 | Processed Slot: 1630 | Confirmed Slot: 1630 | Finalized Slot: 1598 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1649 | ◎499.991940000
00:01:09 | Processed Slot: 1631 | Confirmed Slot: 1631 | Finalized Slot: 1599 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1650 | ◎499.991935000
00:01:10 | Processed Slot: 1631 | Confirmed Slot: 1631 | Finalized Slot: 1599 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1650 | ◎499.991935000
00:01:10 | Processed Slot: 1632 | Confirmed Slot: 1632 | Finalized Slot: 1600 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1651 | ◎499.991930000
00:01:10 | Processed Slot: 1633 | Confirmed Slot: 1632 | Finalized Slot: 1601 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1652 | ◎499.991930000
00:01:10 | Processed Slot: 1633 | Confirmed Slot: 1633 | Finalized Slot: 1601 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1652 | ◎499.991925000
00:01:11 | Processed Slot: 1634 | Confirmed Slot: 1634 | Finalized Slot: 1602 | Full Snapshot Slot: 1502 | Incremental Snapshot Slot: - | Transactions: 1653 | ◎499.991920000
00:01:11 | Processed Slot: 1634 | Confirmed Slot: 1634 | Finalized Slot: 1602 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1653 | ◎499.991920000
00:01:11 | Processed Slot: 1635 | Confirmed Slot: 1635 | Finalized Slot: 1603 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1654 | ◎499.991915000
00:01:11 | Processed Slot: 1636 | Confirmed Slot: 1636 | Finalized Slot: 1604 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1655 | ◎499.991910000
00:01:12 | Processed Slot: 1636 | Confirmed Slot: 1636 | Finalized Slot: 1604 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1655 | ◎499.991910000
00:01:12 | Processed Slot: 1637 | Confirmed Slot: 1637 | Finalized Slot: 1605 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1656 | ◎499.991905000
00:01:12 | Processed Slot: 1638 | Confirmed Slot: 1637 | Finalized Slot: 1605 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1657 | ◎499.991905000
00:01:12 | Processed Slot: 1638 | Confirmed Slot: 1638 | Finalized Slot: 1606 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1657 | ◎499.991900000
00:01:13 | Processed Slot: 1639 | Confirmed Slot: 1639 | Finalized Slot: 1607 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1658 | ◎499.991895000
00:01:13 | Processed Slot: 1639 | Confirmed Slot: 1639 | Finalized Slot: 1607 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1658 | ◎499.991895000
00:01:13 | Processed Slot: 1640 | Confirmed Slot: 1640 | Finalized Slot: 1608 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1659 | ◎499.991890000
00:01:13 | Processed Slot: 1641 | Confirmed Slot: 1641 | Finalized Slot: 1609 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1660 | ◎499.991885000
00:01:14 | Processed Slot: 1641 | Confirmed Slot: 1641 | Finalized Slot: 1609 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1660 | ◎499.991885000
00:01:14 | Processed Slot: 1642 | Confirmed Slot: 1642 | Finalized Slot: 1610 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1661 | ◎499.991880000
00:01:14 | Processed Slot: 1642 | Confirmed Slot: 1642 | Finalized Slot: 1610 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1661 | ◎499.991880000
00:01:14 | Processed Slot: 1643 | Confirmed Slot: 1643 | Finalized Slot: 1611 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1662 | ◎499.991875000
00:01:15 | Processed Slot: 1644 | Confirmed Slot: 1644 | Finalized Slot: 1612 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1663 | ◎499.991870000
00:01:15 | Processed Slot: 1644 | Confirmed Slot: 1644 | Finalized Slot: 1612 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1663 | ◎499.991870000
00:01:15 | Processed Slot: 1645 | Confirmed Slot: 1645 | Finalized Slot: 1613 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1664 | ◎499.991865000
00:01:15 | Processed Slot: 1645 | Confirmed Slot: 1645 | Finalized Slot: 1613 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1664 | ◎499.991865000
00:01:16 | Processed Slot: 1646 | Confirmed Slot: 1646 | Finalized Slot: 1614 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1665 | ◎499.991860000
00:01:16 | Processed Slot: 1647 | Confirmed Slot: 1647 | Finalized Slot: 1615 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1666 | ◎499.991855000
00:01:16 | Processed Slot: 1647 | Confirmed Slot: 1647 | Finalized Slot: 1615 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1666 | ◎499.991855000
00:01:16 | Processed Slot: 1648 | Confirmed Slot: 1648 | Finalized Slot: 1616 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1667 | ◎499.991850000
00:01:17 | Processed Slot: 1649 | Confirmed Slot: 1648 | Finalized Slot: 1617 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1668 | ◎499.991850000
00:01:17 | Processed Slot: 1649 | Confirmed Slot: 1649 | Finalized Slot: 1617 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1668 | ◎499.991845000
00:01:17 | Processed Slot: 1650 | Confirmed Slot: 1650 | Finalized Slot: 1618 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1669 | ◎499.991840000
00:01:17 | Processed Slot: 1650 | Confirmed Slot: 1650 | Finalized Slot: 1618 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1669 | ◎499.991840000
